Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct,Status
1789434910,204897689,60,0,0,0,0.00,1.01,OK
1789434911,204895201,47,0,0,0,0.00,1.01,OK
1789434912,204932453,63,1,1,0,0.00,1.75,OK
1789434913,204882309,61,0,0,0,0.00,0.76,OK
1789434914,204887686,54,0,1,0,0.00,1.26,OK
1789434915,204880927,54,1,1,0,0.00,1.26,OK
1789434916,204883647,60,1,1,0,0.00,1.01,OK
1789434917,204905118,73,2,2,0,0.00,2.26,OK
1789434918,204923880,57,0,2,0,0.00,1.76,OK
1789434919,204886653,44,0,0,0,0.00,1.25,OK
1789434920,204880884,44,1,1,0,0.00,0.76,OK
1789434921,204883969,62,0,1,0,0.00,1.76,OK
1789434922,204897366,58,0,0,0,0.00,1.51,OK
1789434923,204893785,34,0,0,0,0.00,1.00,OK
1789434924,204891089,61,0,0,0,0.00,1.52,OK
1789434925,204899903,51,0,0,0,0.00,0.76,OK
1789434926,204888248,49,0,0,0,0.00,0.51,OK
1789434927,204893729,41,0,0,0,0.00,1.01,OK
1789434928,204888065,33,0,0,0,0.00,0.50,OK
1789434929,204893650,46,0,0,0,0.00,0.76,OK
1789434930,204894131,43,0,0,0,0.00,0.76,OK
1789434931,204896643,40,0,0,0,0.00,1.01,OK
1789434932,204893947,53,0,0,0,0.00,0.76,OK
1789434933,204894376,45,0,0,0,0.00,0.76,OK
1789434934,204892825,39,1,1,0,0.00,0.76,OK
1789434935,204886900,39,0,0,0,0.00,0.76,OK
1789434936,204881391,55,0,0,0,0.00,1.01,OK
1789434937,204883018,33,0,0,0,0.00,0.50,OK
1789434938,204884020,46,0,0,0,0.00,1.01,OK
1789434939,204875490,35,0,0,0,0.00,0.25,OK
1789434940,204884409,32,0,0,0,0.00,1.00,OK
1789434941,204879838,44,0,0,0,0.00,1.25,OK
1789434942,204879225,55,0,0,0,0.00,1.01,OK
1789434943,204887466,41,0,0,0,0.00,0.51,OK
1789434944,204877374,31,0,0,0,0.00,0.00,OK
1789434945,204885147,36,0,0,0,0.00,0.25,OK
